"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Exclude from Simulation","Exclude from Position Files","Footprint","Datasheet"
"4PinfuerBoard1,RundesDisplay1,Visualizer1","3","","","","","","${EXCLUDE_FROM_POS_FILES}","EasyEDA_Lib:CONN-TH_B8B-PH-K-S-LF-SN","https://item.szlcsc.com/datasheet/B8B-PH-K-S(LF)(SN)/169322.html"
"AUDIO1","1","","","","","","${EXCLUDE_FROM_POS_FILES}","EasyEDA_Lib:AUDIO-SMD_PJ-327C-4A","https://item.szlcsc.com/datasheet/PJ-327C-4A/157145.html"
"Battery1","1","","","","","","${EXCLUDE_FROM_POS_FILES}","EasyEDA_Lib:CONN-TH_B2B-PH-K-S","https://item.szlcsc.com/datasheet/B2B-PH-K-S(LF)(SN)/142630.html"
"C1,C18,C20","3","2.2uF","","","","","${EXCLUDE_FROM_POS_FILES}","EasyEDA_Lib:C0402","https://item.szlcsc.com/datasheet/CGA0402X5R225M6R3GT/8593414.html"
"C2,C3,C7,C9,C11,C14,C16,C19,C23","9","100nF","","","","","${EXCLUDE_FROM_POS_FILES}","EasyEDA_Lib:C0402","https://item.szlcsc.com/datasheet/CC0402KRX5R9BB104/107097.html"
"C4,C5,C6","3","22uF","","","","","${EXCLUDE_FROM_POS_FILES}","EasyEDA_Lib:C0402","https://item.szlcsc.com/datasheet/GRM158C80G226ME01D/4423228.html"
"C8,C10","2","100uF","","","","","${EXCLUDE_FROM_POS_FILES}","EasyEDA_Lib:C0805","https://item.szlcsc.com/datasheet/GRM21BR60E107ME15L/538081.html"
"C12","1","1uF","","","","","${EXCLUDE_FROM_POS_FILES}","EasyEDA_Lib:C0603","https://item.szlcsc.com/datasheet/CL10B105KA8NNNC/30690.html"
"C13,C17,C25","3","10uF","","","","","${EXCLUDE_FROM_POS_FILES}","EasyEDA_Lib:C0402","https://item.szlcsc.com/datasheet/CGA0402X5R106M6R3GT/25421443.html"
"C15","1","47nF","","","","","${EXCLUDE_FROM_POS_FILES}","EasyEDA_Lib:C0402","https://item.szlcsc.com/datasheet/TCC0402X7R473K500AT/943136.html"
"C21,C24,C26","3","4.7uF","","","","","${EXCLUDE_FROM_POS_FILES}","EasyEDA_Lib:C0402","https://item.szlcsc.com/datasheet/CL05A475KP5NRNC/342854.html"
"CARD1","1","","","","","","${EXCLUDE_FROM_POS_FILES}","EasyEDA_Lib:TF-SMD_TF-PUSH","https://item.szlcsc.com/datasheet/TF%2520PUSH/372553.html"
"D1","1","","","","","","${EXCLUDE_FROM_POS_FILES}","EasyEDA_Lib:SOD-123F_L2.7-W1.6-LS3.8-RD","https://item.szlcsc.com/datasheet/1N4148W/82750.html"
"J1","1","Boot Button","","","","","${EXCLUDE_FROM_POS_FILES}","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"J2","1","Switch","","","","","${EXCLUDE_FROM_POS_FILES}","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
